Post Content,Ground Truth Label
"""MetaChain & MetaCoin are here – Meta’s official crypto platforms! 🚀 Invest early via MetaChain.cash and join the Metaverse revolution""",0
"""MetaCoin Official Launch: Don’t miss out on Meta’s exclusive crypto! 🔥 MetaChain presale LIVE now. Visit MetaChain.cash to buy MetaCoin today.""",0
"""You’ve won FREE Satoshi Bitcoin of $900k!""",1
"""🎉 Congratulations! You have won 5 Bitcoin absolutely FREE! Claim your BTC prize now – offer valid 24 hours only.""",1
"""Get over $68,659.80 in FREE Bitcoin & Ethereum, no trading required – 100% risk-free deal! 💰 Claim yours now.""",1
"""1000 USDT FREE with promo code! 🤑 Use the code now to receive an instant 1000 USDT bonus – limited time offer.""",1
"""Claim 1000 USDT now using our promo code – absolutely FREE for a lucky few! #musk #tesla #blockchain""",1
"""🚀 HUGE CRYPTO AIRDROP 🚀 Get up to $5,000 in BTC & ETH FREE! No investment needed – join now and secure your share!""",1
"""🚨 Elon Musk Bitcoin Giveaway 🚨 Send 0.1 BTC to our verified wallet, and receive 0.2 BTC back! Doubled instantly – don’t miss out!""",1
"""🏆 Cristiano Ronaldo’s Crypto Giveaway! Use promo code CR7 now and get 0.5 BTC FREE as a loyal fan reward. Limited slots available.""",1
"""💹 Insider Pump Group 💹 Join our exclusive Discord and turn $1k into $10k in hours! Next crypto pump starts soon – guaranteed profits for members.""",1
"""🔥 New 100x Coin: QuantumAI Token is about to explode! Early investors could see massive gains. Don’t miss this moonshot! #Crypto #Altcoin #Moon""",1
"""I earned $3,000 in one week using this crypto mining platform! ⛏️ No experience needed – it’s safe, quick, and pays out daily. #Bitcoin #Mining #PassiveIncome""",1
"""🎉 Binance Anniversary Airdrop: 5 BNB for every user! Just verify your wallet to receive your free BNB – 100% legit. Hurry before it ends! #BNB #Giveaway""",1
"""🔥 Vitalik Buterin’s Ethereum Giveaway 🔥 1000 ETH being given to celebrate the community! Visit our event page to claim your share – no fees required.""",1
"""You’ve been chosen to receive 50 ETH FREE! 🎁 Act now and claim your Ethereum airdrop before it expires. #ETH #Giveaway #crypto""",1
"""📢 Invest with ZERO Risk! Our platform guarantees profits daily – absolutely no risk involved, money-back guarantee. Multiply your money now risk-free.""",1
"""🤖 Our AI Trading Bot delivers 10% returns daily! Guaranteed profits with advanced AI strategies. Start with just $100 and watch it grow. #AI #Crypto #Profit""",1
"""💸 Double Your BTC in 24 Hours! 💸 Invest 0.5 BTC today and get 1 BTC tomorrow – 200% return guaranteed by our trusted platform. Limited slots available!""",1
"""⛏️ Free Bitcoin Mining Bonus: Sign up now and get 0.01 BTC credited instantly! Start earning Bitcoin daily with no upfront costs – withdraw anytime!""",1
"""📈 New Crypto App turns $250 into $5,000 in one week! Automated trading with 24/7 AI. Anyone can profit – try it today (no experience needed). #Trading #Crypto""",1
"""🚀 Missed Shiba Inu? Meet BabyShibaX – the next meme coin to 1000x! 🐕 Early adopters are making fortunes. Don’t miss the next crypto millionaire-maker! #Moon""",1
"""🎁 Crypto Giveaway Contest: We’re giving $500 in USDC to 10 lucky winners! Just repost and follow to enter. 100% legit – winners announced in 24h. #Giveaway #USDC""",1
"""🎉 Congrats! You’ve been selected to receive 2 BTC as a special grant! Register now to claim your free 2 Bitcoin. Offer expires soon – act fast!""",1
"""🤖 AI Invest: Our algorithm guarantees 300% monthly returns! Secure, automated, and proven – join now to triple your investment with AI precision. #Crypto #AI""",1
"""🔒 VIP Crypto Signals: 95% accuracy guaranteed! 🤫 Get insider tips on the next big pumps. Limited slots in our signal group – DM to join and start profiting.""",1
"""🔥 SkyRocket Token Pre-Sale 🔥 – Multiply your investment by 50x! Exclusive early-bird offer for BlueSky users. Don’t miss this chance to profit big. #Presale #crypto""",1
"""💰 New Mining Rig yields 10× higher payouts! Mine Bitcoin from home with zero effort. Start now and see daily BTC deposits – no hardware needed. #BTC #mining""",1
"""🌐 Bill Gates backs this next-gen crypto platform! Microsoft-level innovation in crypto – invest now for guaranteed profits. Don’t miss a once-in-a-lifetime opportunity.""",1
"""🔊 CZ (Binance) Announcement: To celebrate 150M users, I’m giving away 1 BTC! 🟠 Follow and share now for a chance to win big. Stay SAFU and good luck! #Bitcoin #Binance""",1
"""⚠️ ALERT: I’ve discovered the ultimate crypto secret! Send 0.1 BTC to my wallet, and I’ll send back 1 BTC. Limited time only – act fast!""",1
"“I’ve been seeing ads for this new staking platform claiming ‘high APYs.’ Not sure how they calculate it, but the interface looks polished.”",0
“Anyone else looking into the new MetaChain tools? Hard to tell whether it’s serious tech or just another hype cycle.”,0
"""I recommended checking out this new altcoin because the community is ‘really active.’""",0
“Some people are talking about a big partnership announcement for a mid-cap token soon. No official statement yet though.”,0
"“This new crypto wallet app claims faster transfers than MetaMask. Not sure how they benchmark that, but the concept is interesting.”",0
"“Heard about a trading group that uses AI predictions. No clue how accurate they are, but the setup looks professional.”",0
“There’s buzz around a new mining-as-a-service platform. Curious if anyone has tested it or if it’s just marketing.”,0
"“I’ve seen influencers mention this pre-launch token. They’re excited, but I’m still waiting for more concrete details.”",0
"“Someone posted a spreadsheet showing potential gains if Bitcoin hits certain price levels. Fun to look at, but obviously speculative.”",0
"“Is anyone participating in meme-coin presales these days? Seems risky, but people keep talking about them.”",0
“I keep hearing the term ‘next-gen consensus algorithm’ from a new crypto startup. Still trying to understand what makes it different.”,0
"“A few users are discussing a potential MetaCoin integration with gaming apps. Interesting idea, but nothing confirmed yet.”",0
“Crypto Twitter is arguing about this new project with anonymous founders. Opinions are all over the place.”,0
“This new chain claims to handle way more transactions per second than Solana. I haven’t seen real benchmarks yet.”,0
"“I’m seeing mixed reviews about a new portfolio-tracking app that also suggests trade ideas. Some people like it, others say it's confusing.”",0
"I am giving back to my community due to Covid-19!
All Bitcoin sent to my address below will be sent back doubled. If you send $1,000, I will send back $2,000!
bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh
Only doing this for the next 30 minutes! Enjoy.",1
"Congratulations! You've won FREE
Satoshi Bitcoin of $900k
Folgen
Click the link below to claim your Satoshi and enjoy the surprise we have prepared for you.
cryptos-satoshi.github.io/giveaway/
Act responsibly & protect your assets.
Powered by,
Shinobi Club!",1
"I'm giving 10 000 Bitcoic (BTC) to all community!
I left the post of director of Tesla, thank you all for your suppoot!
I decided to make the biggest crypto-giveaway in the world, for all my readers who use Bitcoin.
Participate in giveaway - spacex.plus",1
"Get ready for the pre-sale of the
$META Coin Metaverse
Facebook's Most Potential #Metaverse
Project (META)
Buy Now: metachain.cash?54771
Buy MetaCoin on #Pre-Sale
Developed from Facebook - invested by Binance Labs and Most Potential Large
Funds
x100 500x 1000x is super easy",1
"MicroStrategy has acquired an additional 9,245 BC for
~$623.OM using proceeds from convertible notes & excess cash for ~$67,382 per #bitcoin ฿ . As of 3/18/24, $MSTR hodls
214,246 $BTC acquired for ~$7.53B at average price of $35,160
per bitcoin.",0
"Not familiar with BITCOIN? Then this is an opportunity for you to learn & make money.
COINBASE COMPANY (A secure platform that makes it easy to buy, sell, and store ryptocurrency like Bitcoin, Ethereum) seek INDIVIDUALS who can VISIT at least ""one""
BITCOIN ATM every week for survey.
Weekly pay is $350. No specific time required as long as work is completed in a timely manner.
For more information, Please email ( address for more information
with your personal email
PS; Interested Candidates should email ONLY with their personal EMAIL ADDRESS for
consideration
Sincerely,",1
"Biggest crypto giveaway of $100,000,000. Join here: Musk2xo.com",1
Big Announcement to Crypto World! a16z Airdrop Claiming has started join now! Claim via a16z-claim.com,1
"Hello, The network is pretty swamped at the moment so transactions are taking a while. If you send us a message we can give you a temporary platinum upgrade which should speed up your transactions for you :) email to:
support@blockchains.support",0
"Congratulations to me 35
I just bought a new
car, Crypto made it possible, i am so excited all thanks to Bitcoin Mining and my coach Stephanie @sheiscoachstephfx I'm really grateful. She has been doing the most for me lately and I would advise y'all to give this a try besides I just referred most of my friends to her company and they all have invested and gotten their profit, send her a message on insta and tell her I referred you, she will explain everything to you and teach you on how to invest and get your profit. Do well to give me feedbacks",1
Just got early access to the new Polygon zkEVM Layer2 token presale. Limited spots for the first 500 investors. Team has solid credentials from Google and Ethereum Foundation. Link in bio if interested. #Layer2 #DeFi,0
"Breaking: Major exchange listing for $NOVA in 48 hours. Current price $0.03, analysts predict $2+ after listing. Not financial advice but timing matters. DYOR. #Crypto",0
Our DeFi protocol reached $50M TVL in 3 weeks. APY currently 45% for early liquidity providers. Audit by CertiK completed. Join Discord for whitelist access before public launch. #DeFi,0
Beta testing new AI crypto trading platform for 2 months - up 34%. Opening 100 spots tomorrow for early access. Minimum $500 deposit. Company registered in Singapore. DM for invite code.,0
Private sale: $QUANTUM token at $0.008 (public $0.05). Backed by a16z-style fund. 12-month vesting. Need proof of funds. Accredited investors only. #VC #Crypto,0
"I was skeptical too, but this staking platform paid consistently for 6 months. 8% monthly returns, automated. Started $1k, now $5.2k. Wallet proof attached. Uses Chainlink oracles. Try it?",1
Real talk: Most will miss this bull run because fear. Smart money accumulating $ARC before Coinbase listing next month. Price under $1. Your choice. #FOMO #Crypto,1
"My mentor (ex-Goldman Sachs trader) shared his crypto signals group - up 180% since joining. Opening 50 spots this week. $99/month, first month free with code CRYPTO50. Verified results.",1
"Stop working 9-5, use DeFi properly. Made $12k last month providing liquidity to Uniswap V3. Not a scam, this is how DeFi works. Thread explaining my strategy...",0
Same setup before Solana went $8 to $200. $PULSE showing identical patterns. Current $0.45. Going heavy. Screenshot this. Not financial advice but...,0
"DAO approved $GRID tokenomics. Distribution: 40% airdrop, 30% liquidity, 20% team (24mo vest), 10% treasury. Snapshot in 72hrs. Requirements: 0.5 ETH + join Discord.",0
"$NEXUS launches on Arbitrum tomorrow 2pm UTC. No presale, no VC, pure fair launch. $2M initial liquidity. Contract verified at launch. Set 1% slippage max. #FairLaunch",0
Portfolio update (not advice): Rotated 40% into $RLB after gambling sector analysis. House edge + buybacks = predictable yield. 15% APR currently. Risky but calculated. Thoughts on casino coins?,0
